instance,ours,reordered,bks,loss_ordering,loss_assignment,gap_pct,pct_ordering,route_len_avg,route_len_max,crossings,tsp_exact
A-n45-k7,1148,1148,1146,0,2,0.17,0.0,6.3,8,0,True
A-n60-k9,1358,1358,1354,0,4,0.3,0.0,6.6,9,0,True
A-n80-k10,1811,1811,1763,0,48,2.72,0.0,7.9,14,0,False
B-n56-k7,710,710,707,0,3,0.42,0.0,7.9,11,0,True
B-n66-k9,1332,1332,1316,0,16,1.22,0.0,7.2,12,0,True
B-n78-k10,1239,1239,1221,0,18,1.47,0.0,7.7,10,1,True
E-n76-k8,743,743,735,0,8,1.09,0.0,9.4,13,0,True
E-n101-k14,1109,1109,1067,0,42,3.94,0.0,7.1,10,0,True
P-n50-k10,705,705,696,0,9,1.29,0.0,4.9,6,0,True
P-n101-k4,719,719,681,0,38,5.58,0.0,25.0,30,0,False
