instance,bks,best,gap_best,mean,gap_mean,std,iter_mean,fe_best_mean,n_routes_best,k,satisf
A-n45-k7,1146,1148,0.17,1158.2,1.06,9.2,17.4,254549,7,7,100%
A-n60-k9,1354,1358,0.3,1363.8,0.72,4.8,15.4,224966,9,9,100%
A-n80-k10,1763,1811,2.72,1818.4,3.14,8.8,14.8,214472,10,10,100%
B-n56-k7,707,710,0.42,712.6,0.79,1.9,15.6,228574,7,7,100%
B-n66-k9,1316,1332,1.22,1335.6,1.49,3.0,17,249562,9,9,100%
B-n78-k10,1221,1239,1.47,1245.8,2.03,5.1,10.8,155389,10,10,100%
E-n76-k8,735,743,1.09,757.6,3.07,8.8,15.2,220699,8,8,100%
E-n101-k14,1067,1109,3.94,1114.2,4.42,4.9,15,217471,14,14,100%
P-n50-k10,696,705,1.29,708.6,1.81,3.3,19.2,248257,10,10,100%
P-n101-k4,681,719,5.58,724.4,6.37,4.4,17.8,259816,4,4,100%
