best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_ls_cap_fe,p_ls_clones
1394,1354,K3_cap1500,128385,2.954,29,78,A-n60-k9,9,True,100,3.36,1500,3
1369,1354,K3_cap1500,323188,1.108,72,78,A-n60-k9,9,True,101,3.05,1500,3
1364,1354,K3_cap1500,347349,0.739,77,78,A-n60-k9,9,True,102,2.95,1500,3
1352,1316,K3_cap1500,164625,2.736,37,78,B-n66-k9,9,True,100,3.28,1500,3
1343,1316,K3_cap1500,292976,2.052,65,78,B-n66-k9,9,True,101,3.13,1500,3
1354,1316,K3_cap1500,320155,2.888,71,78,B-n66-k9,9,True,102,3.2,1500,3
1128,1067,K3_cap1500,33255,5.717,8,78,E-n101-k14,14,True,100,4.41,1500,3
1128,1067,K3_cap1500,19665,5.717,5,78,E-n101-k14,14,True,101,4.59,1500,3
1128,1067,K3_cap1500,64965,5.717,15,78,E-n101-k14,14,True,102,4.49,1500,3
739,681,K3_cap1500,223529,8.517,50,78,P-n101-k4,4,True,100,7.69,1500,3
743,681,K3_cap1500,114809,9.104,26,78,P-n101-k4,4,True,101,8.37,1500,3
737,681,K3_cap1500,232589,8.223,52,78,P-n101-k4,4,True,102,7.86,1500,3
1382,1354,K3_cap2000,279425,2.068,47,59,A-n60-k9,9,True,100,2.53,2000,3
1378,1354,K3_cap2000,321635,1.773,54,59,A-n60-k9,9,True,101,2.63,2000,3
1364,1354,K3_cap2000,102525,0.739,17,59,A-n60-k9,9,True,102,2.63,2000,3
1477,1316,K3_cap2000,10075,12.234,2,59,B-n66-k9,9,True,100,2.74,2000,3
1371,1316,K3_cap2000,140735,4.179,24,59,B-n66-k9,9,True,101,2.89,2000,3
1382,1316,K3_cap2000,243245,5.015,41,59,B-n66-k9,9,True,102,2.75,2000,3
1107,1067,K3_cap2000,333712,3.749,56,59,E-n101-k14,14,True,100,3.57,2000,3
1126,1067,K3_cap2000,10075,5.53,2,59,E-n101-k14,14,True,101,3.88,2000,3
1128,1067,K3_cap2000,8075,5.717,2,59,E-n101-k14,14,True,102,3.85,2000,3
739,681,K3_cap2000,267365,8.517,45,59,P-n101-k4,4,True,100,5.91,2000,3
741,681,K3_cap2000,134705,8.811,23,59,P-n101-k4,4,True,101,6.08,2000,3
739,681,K3_cap2000,225168,8.517,38,59,P-n101-k4,4,True,102,6.29,2000,3
1364,1354,K3_cap3000,174615,0.739,20,39,A-n60-k9,9,True,100,2.42,3000,3
1365,1354,K3_cap3000,120435,0.812,14,39,A-n60-k9,9,True,101,2.32,3000,3
1364,1354,K3_cap3000,346185,0.739,39,39,A-n60-k9,9,True,102,2.28,3000,3
1350,1316,K3_cap3000,159555,2.584,18,39,B-n66-k9,9,True,100,2.31,3000,3
1348,1316,K3_cap3000,340155,2.432,38,39,B-n66-k9,9,True,101,2.37,3000,3
1447,1316,K3_cap3000,63225,9.954,7,39,B-n66-k9,9,True,102,2.21,3000,3
1110,1067,K3_cap3000,60225,4.03,7,39,E-n101-k14,14,True,100,2.71,3000,3
1120,1067,K3_cap3000,346185,4.967,39,39,E-n101-k14,14,True,101,2.7,3000,3
1128,1067,K3_cap3000,12075,5.717,2,39,E-n101-k14,14,True,102,2.67,3000,3
721,681,K3_cap3000,255885,5.874,29,39,P-n101-k4,4,True,100,4.19,3000,3
741,681,K3_cap3000,108375,8.811,12,39,P-n101-k4,4,True,101,4.55,3000,3
725,681,K3_cap3000,192675,6.461,22,39,P-n101-k4,4,True,102,4.33,3000,3
1358,1354,K3_cap5000,305645,0.295,21,24,A-n60-k9,9,True,100,1.98,5000,3
1364,1354,K3_cap5000,115255,0.739,8,24,A-n60-k9,9,True,101,1.93,5000,3
1361,1354,K3_cap5000,225465,0.517,15,24,A-n60-k9,9,True,102,2.01,5000,3
1335,1316,K3_cap5000,340705,1.444,23,24,B-n66-k9,9,True,100,2.49,5000,3
1335,1316,K3_cap5000,305645,1.444,21,24,B-n66-k9,9,True,101,2.04,5000,3
1328,1316,K3_cap5000,215465,0.912,15,24,B-n66-k9,9,True,102,2.13,5000,3
1118,1067,K3_cap5000,65165,4.78,5,24,E-n101-k14,14,True,100,2.18,5000,3
1127,1067,K3_cap5000,170375,5.623,12,24,E-n101-k14,14,True,101,2.61,5000,3
1115,1067,K3_cap5000,340705,4.499,23,24,E-n101-k14,14,True,102,2.23,5000,3
739,681,K3_cap5000,150315,8.517,10,24,P-n101-k4,4,True,100,3.85,5000,3
738,681,K3_cap5000,235495,8.37,16,24,P-n101-k4,4,True,101,3.13,5000,3
727,681,K3_cap5000,280585,6.755,19,24,P-n101-k4,4,True,102,3.09,5000,3
1365,1354,K2_cap5000,30105,0.812,3,35,A-n60-k9,9,True,100,2.13,5000,2
1358,1354,K2_cap5000,269410,0.295,27,36,A-n60-k9,9,True,101,2.24,5000,2
1358,1354,K2_cap5000,110345,0.295,11,35,A-n60-k9,9,True,102,2.2,5000,2
1338,1316,K2_cap5000,326005,1.672,33,35,B-n66-k9,9,True,100,2.28,5000,2
1343,1316,K2_cap5000,215675,2.052,22,35,B-n66-k9,9,True,101,2.29,5000,2
1324,1316,K2_cap5000,215675,0.608,22,35,B-n66-k9,9,True,102,2.44,5000,2
1107,1067,K2_cap5000,240735,3.749,24,35,E-n101-k14,14,True,100,3.66,5000,2
1116,1067,K2_cap5000,305945,4.592,31,35,E-n101-k14,14,True,101,2.55,5000,2
1126,1067,K2_cap5000,75255,5.53,8,35,E-n101-k14,14,True,102,2.58,5000,2
745,681,K2_cap5000,65225,9.398,7,35,P-n101-k4,4,True,100,4.24,5000,2
