best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_dup,p_ls_cap_fe,p_ls_clones,p_tau_b
1358,1354,dup3_tau10,170780,0.295,17,35,A-n60-k9,9,True,100,2.76,3,5000,2,10
1364,1354,dup3_tau10,185876,0.739,19,35,A-n60-k9,9,True,101,2.66,3,5000,2,10
1358,1354,dup3_tau10,264710,0.295,27,36,A-n60-k9,9,True,102,2.75,3,5000,2,10
1328,1316,dup3_tau10,110510,0.912,11,35,B-n66-k9,9,True,100,3.05,3,5000,2,10
1341,1316,dup3_tau10,291320,1.9,29,35,B-n66-k9,9,True,101,2.72,3,5000,2,10
1337,1316,dup3_tau10,150700,1.596,15,35,B-n66-k9,9,True,102,2.65,3,5000,2,10
1113,1067,dup3_tau10,296392,4.311,30,35,E-n101-k14,14,True,100,3.37,3,5000,2,10
1108,1067,dup3_tau10,296365,3.843,30,35,E-n101-k14,14,True,101,3.36,3,5000,2,10
1108,1067,dup3_tau10,256185,3.843,26,35,E-n101-k14,14,True,102,3.27,3,5000,2,10
726,681,dup3_tau10,246154,6.608,25,35,P-n101-k4,4,True,100,5.69,3,5000,2,10
690,681,dup3_tau10,180825,1.322,18,35,P-n101-k4,4,True,101,5.62,3,5000,2,10
724,681,dup3_tau10,35195,6.314,4,35,P-n101-k4,4,True,102,6.16,3,5000,2,10
