best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_dup,p_ls_cap_fe,p_ls_clones,p_pop_size,p_tau_b
1361,1354,K2c5000_d3_t20,319763,0.517,32,36,A-n60-k9,9,True,100,5.52,3,5000,2,15,20
1364,1354,K2c5000_d3_t20,140645,0.739,14,36,A-n60-k9,9,True,101,5.17,3,5000,2,15,20
1364,1354,K2c5000_d3_t20,301365,0.739,30,36,A-n60-k9,9,True,102,5.12,3,5000,2,15,20
1346,1316,K2c5000_d3_t20,316456,2.28,32,35,B-n66-k9,9,True,100,5.99,3,5000,2,15,20
1336,1316,K2c5000_d3_t20,150690,1.52,15,35,B-n66-k9,9,True,101,5.91,3,5000,2,15,20
1359,1316,K2c5000_d3_t20,281275,3.267,28,35,B-n66-k9,9,True,102,5.9,3,5000,2,15,20
1110,1067,K2c5000_d3_t20,296365,4.03,30,35,E-n101-k14,14,True,100,11.4,3,5000,2,15,20
1106,1067,K2c5000_d3_t20,291320,3.655,29,35,E-n101-k14,14,True,101,11.65,3,5000,2,15,20
1108,1067,K2c5000_d3_t20,246140,3.843,25,35,E-n101-k14,14,True,102,11.24,3,5000,2,15,20
726,681,K2c5000_d3_t20,175825,6.608,18,35,P-n101-k4,4,True,100,9.33,3,5000,2,15,20
715,681,K2c5000_d3_t20,331500,4.993,33,35,P-n101-k4,4,True,101,9.26,3,5000,2,15,20
707,681,K2c5000_d3_t20,135645,3.818,14,35,P-n101-k4,4,True,102,9.31,3,5000,2,15,20
1365,1354,K2c5000_d3_t10,55285,0.812,6,36,A-n60-k9,9,True,100,5.63,3,5000,2,15,10
1364,1354,K2c5000_d3_t10,165782,0.739,17,35,A-n60-k9,9,True,101,5.27,3,5000,2,15,10
1373,1354,K2c5000_d3_t10,286320,1.403,29,35,A-n60-k9,9,True,102,5.19,3,5000,2,15,10
1334,1316,K2c5000_d3_t10,304467,1.368,31,36,B-n66-k9,9,True,100,6.07,3,5000,2,15,10
1338,1316,K2c5000_d3_t10,261185,1.672,26,35,B-n66-k9,9,True,101,5.95,3,5000,2,15,10
